Element_Name                                           	L 	EBML_ID   	Ma	Mu	Rng  	Default           	T	1	2	3	4	W
					TrackPlane                         	5 	0xE4      	*	*	-    	-                 	m	-	-	*	*	-
						TrackPlaneUID                  	6 	0xE5      	*	-	not 0	-                 	u	-	-	*	*	-
						TrackPlaneType                 	6 	0xE6      	*	-	-    	-                 	u	-	-	*	*	-
				TrackJoinBlocks                        	4 	0xE9      	-	-	-    	-                 	m	-	-	*	*	-
					TrackJoinUID                       	5 	0xED      	*	*	not 0	-                 	u	-	-	*	*	-
			TrickTrackUID                              	3 	0xC0      	-	-	-    	-                 	u	-	-	-	-	-
			TrickTrackSegmentUID                       	3 	0xC1      	-	-	-    	-                 	b	-	-	-	-	-
			TrickTrackFlag                             	3 	0xC6      	-	-	-    	0                 	u	-	-	-	-	-
			TrickMasterTrackUID                        	3 	0xC7      	-	-	-    	-                 	u	-	-	-	-	-
			TrickMasterTrackSegmentUID                 	3 	0xC4      	-	-	-    	-                 	b	-	-	-	-	-
			ContentEncodings                           	3 	0x6D80    	-	-	-    	-                 	m	*	*	*	*	-
				ContentEncoding                        	4 	0x6240    	*	*	-    	-                 	m	*	*	*	*	-
					ContentEncodingOrder               	5 	0x5031    	*	-	-    	0                 	u	*	*	*	*	-
					ContentEncodingScope               	5 	0x5032    	*	-	not 0	1                 	u	*	*	*	*	-
					ContentEncodingType                	5 	0x5033    	*	-	-    	0                 	u	*	*	*	*	-
					ContentCompression                 	5 	0x5034    	-	-	-    	-                 	m	*	*	*	*	-
						ContentCompAlgo                	6 	0x4254    	*	-	-    	0                 	u	*	*	*	*	-
						ContentCompSettings            	6 	0x4255    	-	-	-    	-                 	b	*	*	*	*	-
						ContentEncryption              	5 	0x5035    	-	-	-    	-                 	m	*	*	*	*	-
						ContentEncAlgo                 	6 	0x47E1    	-	-	-    	0                 	u	*	*	*	*	-
						ContentEncKeyID                	6 	0x47E2    	-	-	-    	-                 	b	*	*	*	*	-
						ContentSignature               	6 	0x47E3    	-	-	-    	-                 	b	*	*	*	*	-
						ContentSigKeyID                	6 	0x47E4    	-	-	-    	-                 	b	*	*	*	*	-
						ContentSigAlgo                 	6 	0x47E5    	-	-	-    	0                 	u	*	*	*	*	-
						ContentSigHashAlgo             	6 	0x47E6    	-	-	-    	0                 	u	*	*	*	*	-
	Cues                                               	1 	0x1C53BB6B	-	-	-    	-                 	m	*	*	*	*	*
		CuePoint                                       	2 	0xBB      	*	*	-    	-                 	m	*	*	*	*	*
			CueTime                                    	3 	0xB3      	*	-	-    	-                 	u	*	*	*	*	*
			CueTrackPositions                          	3 	0xB7      	*	*	-    	-                 	m	*	*	*	*	*
				CueTrack                               	4 	0xF7      	*	-	not 0	-                 	u	*	*	*	*	*
				CueClusterPosition                     	4 	0xF1      	*	-	-    	-                 	u	*	*	*	*	*
				CueRelativePosition                    	4 	0xF0      	-	-	-    	-                 	u	-	-	-	*	-
				CueDuration                            	4 	0xB2      	-	-	-    	-                 	u	-	-	-	*	-
				CueBlockNumber                         	4 	0x5378    	-	-	not 0	1                 	u	*	*	*	*	*
				CueCodecState                          	4 	0xEA      	-	-	-    	0                 	u	-	*	*	*	-
				CueReference                           	4 	0xDB      	-	*	-    	-                 	m	-	*	*	*	-
					CueRefTime                         	5 	0x96      	*	-	-    	-                 	u	-	*	*	*	-
					CueRefCluster                      	5 	0x97      	*	-	-    	-                 	u	-	-	-	-	-
					CueRefNumber                       	5 	0x535F    	-	-	not 0	1                 	u	-	-	-	-	-
					CueRefCodecState                   	5 	0xEB      	-	-	-    	0                 	u	-	-	-	-	-
	Attachments                                        	1 	0x1941A469	-	-	-    	-                 	m	*	*	*	*	-
		AttachedFile                                   	2 	0x61A7    	*	*	-    	-                 	m	*	*	*	*	-
			FileDescription                            	3 	0x467E    	-	-	-    	-                 	8	*	*	*	*	-
			FileName                                   	3 	0x466E    	*	-	-    	-                 	8	*	*	*	*	-
			FileMimeType                               	3 	0x4660    	*	-	-    	-                 	s	*	*	*	*	-
			FileData                                   	3 	0x465C    	*	-	-    	-                 	b	*	*	*	*	-
			FileUID                                    	3 	0x46AE    	*	-	not 0	-                 	u	*	*	*	*	-
			FileReferral                               	3 	0x4675    	-	-	-    	-                 	b	-	-	-	-	-
			FileUsedStartTime                          	3 	0x4661    	-	-	-    	-                 	u	-	-	-	-	-
			FileUsedEndTime                            	3 	0x4662    	-	-	-    	-                 	u	-	-	-	-	-
	Chapters                                           	1 	0x1043A770	-	-	-    	-                 	m	*	*	*	*	*
		EditionEntry                                   	2 	0x45B9    	*	*	-    	-                 	m	*	*	*	*	*
			EditionUID                                 	3 	0x45BC    	-	-	not 0	-                 	u	*	*	*	*	-
			EditionFlagHidden                          	3 	0x45BD    	*	-	0-1  	0                 	u	*	*	*	*	-
			EditionFlagDefault                         	3 	0x45DB    	*	-	0-1  	0                 	u	*	*	*	*	-
			EditionFlagOrdered                         	3 	0x45DD    	-	-	0-1  	0                 	u	*	*	*	*	-
			ChapterAtom                                	3+	0xB6      	*	*	-    	-                 	m	*	*	*	*	*
				ChapterUID                             	4 	0x73C4    	*	-	not 0	-                 	u	*	*	*	*	*
				ChapterStringUID                       	4 	0x5654    	-	-	-    	-                 	8	-	-	*	*	*
				ChapterTimeStart                       	4 	0x91      	*	-	-    	-                 	u	*	*	*	*	*
				ChapterTimeEnd                         	4 	0x92      	-	-	-    	-                 	u	*	*	*	*	-
				ChapterFlagHidden                      	4 	0x98      	*	-	0-1  	0                 	u	*	*	*	*	-
				ChapterFlagEnabled                     	4 	0x4598    	*	-	0-1  	1                 	u	*	*	*	*	-
				ChapterSegmentUID                      	4 	0x6E67    	-	-	>0   	-                 	b	*	*	*	*	-
				ChapterSegmentEditionUID               	4 	0x6EBC    	-	-	not 0	-                 	u	*	*	*	*	-
				ChapterPhysicalEquiv                   	4 	0x63C3    	-	-	-    	-                 	u	*	*	*	*	-
				ChapterTrack                           	4 	0x8F      	-	-	-    	-                 	m	*	*	*	*	-
					ChapterTrackNumber                 	5 	0x89      	*	*	not 0	-                 	u	*	*	*	*	-
				ChapterDisplay                         	4 	0x80      	-	*	-    	-                 	m	*	*	*	*	*
					ChapString                         	5 	0x85      	*	-	-    	-                 	8	*	*	*	*	*
					ChapLanguage                       	5 	0x437C    	*	*	-    	eng               	s	*	*	*	*	*
					ChapCountry                        	5 	0x437E    	-	*	-    	-                 	s	*	*	*	*	-
				ChapProcess                            	4 	0x6944    	-	*	-    	-                 	m	*	*	*	*	-
					ChapProcessCodecID                 	5 	0x6955    	*	-	-    	0                 	u	*	*	*	*	-
					ChapProcessPrivate                 	5 	0x450D    	-	-	-    	-                 	b	*	*	*	*	-
					ChapProcessCommand                 	5 	0x6911    	-	*	-    	-                 	m	*	*	*	*	-
						ChapProcessTime                	6 	0x6922    	*	-	-    	-                 	u	*	*	*	*	-
						ChapProcessData                	6 	0x6933    	*	-	-    	-                 	b	*	*	*	*	-
	Tags                                               	1 	0x1254C367	-	*	-    	-                 	m	*	*	*	*	-
		Tag                                            	2 	0x7373    	*	*	-    	-                 	m	*	*	*	*	-
			Targets                                    	3 	0x63C0    	*	-	-    	-                 	m	*	*	*	*	-
				TargetTypeValue                        	4 	0x68CA    	-	-	-    	50                	u	*	*	*	*	-
				TargetType                             	4 	0x63CA    	-	-	-    	-                 	s	*	*	*	*	-
				TagTrackUID                            	4 	0x63C5    	-	*	-    	0                 	u	*	*	*	*	-
				TagEditionUID                          	4 	0x63C9    	-	*	-    	0                 	u	*	*	*	*	-
				TagChapterUID                          	4 	0x63C4    	-	*	-    	0                 	u	*	*	*	*	-
				TagAttachmentUID                       	4 	0x63C6    	-	*	-    	0                 	u	*	*	*	*	-
			SimpleTag                                  	3+	0x67C8    	*	*	-    	-                 	m	*	*	*	*	-
				TagName                                	4 	0x45A3    	*	-	-    	-                 	8	*	*	*	*	-
				TagLanguage                            	4 	0x447A    	*	-	-    	und               	s	*	*	*	*	-
				TagDefault                             	4 	0x4484    	*	-	0-1  	1                 	u	*	*	*	*	-
				TagString                              	4 	0x4487    	-	-	-    	-                 	8	*	*	*	*	-
				TagBinary                              	4 	0x4485    	-	-	-    	-                 	b	*	*	*	*	-
